Name,Team,IPL 4 Franchise,Player cost USD,matches played,innings played,no,runs scored,highest score,Batting avg,Balls faced,Strike rate,100 runs made,50 runs made,4s,6s,Catches per match,Catches taken,matches played,innings played,Number of balls bowled,runs given,wkts taken,Bowling average,Bowling econ
Aiden Blizzard,Australia,Mumbai Indians,20000,40,40,3,817,89,22.08,542,150.73,0,2,115,27,0.375,15,40,1,6,10,0,0,10
Jonathan Vandiar,South Africa,Royal Challengers Bangalore,20000,18,18,1,356,71,20.94,298,119.46,0,3,29,14,0.111111111,2,18,-,-,-,-,0,-
Nathan Rimmington,Australia,Kings XI Punjab,20000,23,8,5,33,24,11,25,132,0,0,3,1,0.304347826,7,23,22,466,563,31,18.16,7.24
Rilee Rossouw,South Africa,Royal Challengers Bangalore,20000,20,20,0,343,65,17.15,307,111.72,0,1,32,11,0.4,8,20,-,-,-,-,0,-
Robert Frylinck,South Africa,Delhi Daredevils,20000,25,22,8,213,32,15.21,129,165.11,0,0,17,14,0.36,9,25,23,498,623,26,23.96,7.5
Travis Birt,Australia,Delhi Daredevils,20000,45,43,3,820,58,20.5,626,130.99,0,2,69,33,0.4,18,45,-,-,-,-,0,-
George Bailey,Australia,Chennai Super Kings,50000,32,28,4,714,60,29.75,521,137.04,0,5,59,26,0.28125,9,32,1,12,24,0,0,12
Johan van der Wath,South Africa,Royal Challengers Bangalore,50000,78,57,18,672,48,17.23,510,131.76,0,0,40,37,0.08974359,7,78,74,1555,1984,78,25.43,7.65
Luke Pomersbasch,Australia,Royal Challengers Bangalore,50000,35,33,5,623,79,22.25,480,129.79,0,2,51,30,0.457142857,16,35,-,-,-,-,0,-
Moises Henriques,Australia,Mumbai Indians,50000,40,35,5,549,51,18.3,457,120.13,0,1,46,10,0.575,23,40,36,645,914,31,29.48,8.5
Roelof van der Merwe,South Africa,Delhi Daredevils,50000,59,41,11,721,89,24.03,538,134.01,0,5,58,38,0.440677966,26,59,59,1200,1441,65,22.16,7.2
Michael Klinger,Australia,Kochi,75000,30,29,4,690,78,27.6,549,125.68,0,4,64,20,0.3,9,30,-,-,-,-,0,-
Andrew McDonald,Australia,Delhi Daredevils,80000,62,55,21,1267,96,37.26,1004,126.19,0,8,96,27,0.403225806,25,62,57,1076,1388,62,22.38,7.73
Michael Lumb,England,Deccan Chargers,80000,103,103,6,2161,124,22.27,1511,143.01,1,12,285,71,0.32038835,33,103,3,36,65,3,21.66,10.83
Suraj Randiv,Sri Lanka,Chennai Super Kings,80000,29,8,1,43,20,6.14,34,126.47,0,0,2,2,0.344827586,10,29,27,538,644,27,23.85,7.18
Thisara Perera,Sri Lanka,Kochi,80000,40,30,10,209,24,10.45,176,118.75,0,0,16,10,0.35,14,40,39,689,843,38,22.18,7.34
Rusty Theron,South Africa,Deccan Chargers,85000,50,18,9,71,24,7.88,70,101.42,0,0,4,1,0.34,17,50,50,1098,1280,58,22.06,6.99
Alfonso Thomas,South Africa,Pune Warriors,100000,104,33,19,173,30,12.35,158,109.49,0,0,19,2,0.298076923,31,104,98,2049,2481,125,19.84,7.26
Ben Hilfenhaus,Australia,Chennai Super Kings,100000,21,9,4,28,7,5.6,43,65.11,0,0,0,1,0.095238095,2,21,21,439,519,25,20.76,7.09
Colin Ingram,South Africa,Delhi Daredevils,100000,32,31,4,686,84,25.4,570,120.35,0,4,59,26,0.25,8,32,-,-,-,-,0,-
Dimitri Mascarenhas,England,Kings XI Punjab,100000,81,71,20,1045,57,20.49,829,126.05,0,3,70,38,0.271604938,22,81,79,1609,1883,101,18.64,7.02
James Franklin,New Zealand,Mumbai Indians,100000,72,64,17,1531,90,32.57,1187,128.98,0,6,109,55,0.277777778,20,72,61,1074,1473,40,36.82,8.22
Jerome Taylor,West Indies,Pune Warriors,100000,35,15,7,70,16,8.75,53,132.07,0,0,4,3,0.2,7,35,35,751,941,49,19.2,7.51
Matthew Wade,Australia,Delhi Daredevils,100000,27,22,4,349,80,19.38,299,116.72,0,2,30,11,0.481481481,13,27,-,-,-,-,0,-
Nathan McCullum,New Zealand,Pune Warriors,100000,73,59,18,989,76,24.12,730,135.47,0,3,61,47,0.410958904,30,73,66,1327,1543,71,21.73,6.97
Nuwan Kulasekara,Sri Lanka,Chennai Super Kings,100000,31,22,8,155,30,11.07,124,125,0,0,5,8,0.387096774,12,31,31,674,862,32,26.93,7.67
Wriddhiman Saha,India,Chennai Super Kings,100000,56,43,17,747,85,28.73,550,135.81,0,3,61,32,0.482142857,27,56,-,-,-,-,0,-
Clint McKay,Australia,Mumbai Indians,110000,31,16,7,122,21,13.55,80,152.5,0,0,7,8,0.129032258,4,31,31,687,945,43,21.97,8.25
Faf du Plessis,South Africa,Chennai Super Kings,120000,43,38,4,692,78,20.35,589,117.48,0,3,67,17,0.325581395,14,43,33,528,626,34,18.41,7.11
Mohammad Kaif,India,Royal Challengers Bangalore,130000,45,38,6,676,68,21.12,615,109.91,0,4,72,11,0.488888889,22,45,-,-,-,-,0,-
Charl Langeveldt,South Africa,Royal Challengers Bangalore,140000,83,18,11,64,13,9.14,73,87.67,0,0,4,2,0.228915663,19,83,82,1758,2121,111,19.1,7.23
Jesse Ryder,New Zealand,Pune Warriors,150000,52,51,2,1088,86,22.2,773,140.75,0,8,118,45,0.307692308,16,52,28,454,610,13,46.92,8.06
Joginder Sharma,India,Chennai Super Kings,150000,41,22,6,224,35,14,170,131.76,0,0,16,11,0.317073171,13,41,40,757,1016,36,28.22,8.05
Ryan ten Doeschate,Netherlands,Kolkata Knight Riders,150000,107,93,22,1843,102,25.95,1428,129.06,1,4,117,70,0.336448598,36,107,59,1061,1410,60,23.5,7.97
Wayne Parnell,South Africa,Pune Warriors,160000,42,16,8,101,16,12.62,103,98.05,0,0,5,1,0.119047619,5,42,41,865,1017,41,24.8,7.05
Davy Jacobs,South Africa,Mumbai Indians,190000,61,58,9,1313,74,26.79,1115,117.75,0,6,115,46,0.491803279,30,61,1,6,14,0,0,14
Dwayne Bravo,West Indies,Chennai Super Kings,200000,87,72,17,1317,70,23.94,1035,127.24,0,8,97,57,0.448275862,39,87,84,1546,2123,82,25.89,8.23
Owais Shah,England,Kochi,200000,115,109,22,2842,80,32.66,2196,129.41,0,15,227,117,0.339130435,39,115,7,51,69,5,13.8,8.11
Scott Styris,New Zealand,Chennai Super Kings,200000,120,112,13,2481,106,25.06,1878,132.1,1,9,167,118,0.258333333,31,120,97,1874,2354,88,26.75,7.53
Steven Smith,Australia,Kochi,200000,41,32,8,417,35,17.37,350,119.14,0,0,37,8,0.56097561,23,41,34,582,719,42,17.11,7.41
Ajit Agarkar,India,Delhi Daredevils,210000,48,27,12,229,39,15.26,182,125.82,0,0,18,6,0.083333333,4,48,47,912,1263,40,31.57,8.3
Sudeep Tyagi,India,Chennai Super Kings,240000,14,2,1,2,2,2,7,28.57,0,0,0,0,0.214285714,3,14,13,258,320,20,16,7.44
Jaidev Unadkat,India,Kolkata Knight Riders,250000,14,2,1,2,2,2,7,28.57,0,0,0,0,0.214285714,3,14,13,258,320,20,16,7.44
Paul Collingwood,England,Rajasthan Royals,250000,67,58,5,973,79,18.35,803,121.17,0,6,61,41,0.313432836,21,67,42,625,736,52,14.15,7.06
Naman Ojha,India,Delhi Daredevils,270000,53,53,5,1016,94,21.16,867,117.18,0,5,95,53,0.566037736,30,53,-,-,-,-,0,-
Tim Paine,Australia,Pune Warriors,270000,26,22,0,379,71,17.22,280,135.35,0,2,32,15,0.692307692,18,26,-,-,-,-,0,-
Manpreet Gony,India,Deccan Chargers,290000,39,18,7,152,34,13.81,106,143.39,0,0,8,10,0.128205128,5,39,39,785,1014,39,26,7.75
Parthiv Patel,India,Kochi,290000,58,56,5,1028,57,20.15,947,108.55,0,4,135,14,0.431034483,25,58,-,-,-,-,0,-
Aaron Finch,Australia,Delhi Daredevils,300000,30,27,5,824,93,37.45,625,131.84,0,6,76,29,0.466666667,14,30,2,19,18,0,0,5.68
Amit Mishra,India,Deccan Chargers,300000,67,39,14,402,49,16.08,360,111.66,0,0,43,4,0.23880597,16,67,67,1495,1697,93,18.24,6.81
Callum Ferguson,Australia,Pune Warriors,300000,34,31,5,566,71,21.76,470,120.42,0,3,51,10,0.529411765,18,34,-,-,-,-,0,-
JP Duminy,South Africa,Deccan Chargers,300000,100,96,22,2415,99,32.63,2014,119.91,0,16,194,75,0.33,33,100,41,517,652,27,24.14,7.56
Shaun Tait,Australia,Rajasthan Royals,300000,62,20,7,87,14,6.69,114,76.31,0,0,4,4,0.241935484,15,62,62,1368,1751,87,20.12,7.67
Shikhar Dhawan,India,Deccan Chargers,300000,59,58,8,1411,95,28.22,1233,114.43,0,10,151,26,0.457627119,27,59,2,12,11,1,11,5.5
Brad Haddin,Australia,Kolkata Knight Riders,325000,36,34,4,576,54,19.2,503,114.51,0,2,44,17,0.583333333,21,36,-,-,-,-,0,-
Ryan Harris,Australia,Kings XI Punjab,325000,51,29,11,179,31,9.94,180,99.44,0,0,7,5,0.392156863,20,51,50,1117,1392,66,21.09,7.47
Eoin Morgan,England,Kolkata Knight Riders,350000,79,72,11,1584,85,25.96,1223,129.51,0,7,144,55,0.417721519,33,79,-,-,-,-,0,-
James Hopes,Australia,Delhi Daredevils,350000,60,52,8,1151,71,26.15,886,129.9,0,10,132,21,0.266666667,16,60,56,1065,1499,43,34.86,8.44
Ashok Dinda,India,Delhi Daredevils,375000,50,11,4,25,19,3.57,37,67.56,0,0,1,0,0.1,5,50,47,949,1099,48,22.89,6.94
Brett Lee,Australia,Kolkata Knight Riders,400000,55,29,14,235,48,15.66,181,129.83,0,0,18,12,0.327272727,18,55,55,1206,1447,44,32.88,7.19
Murali Kartik,India,Pune Warriors,400000,97,28,13,223,28,14.86,216,103.24,0,0,17,3,0.288659794,28,97,94,2038,2260,77,29.35,6.65
